home_team,away_team,base_home,base_draw,base_away,adjusted_home,adjusted_draw,adjusted_away,final_home,final_draw,final_away,max_abs_shift_pre_draw,sum_abs_shift_pre_draw,max_abs_shift_final,base_argmax,adjusted_argmax,final_argmax,argmax_changed_pre_draw,argmax_changed_final,squad_top26_diff,tm_market_value_log_diff,tm_caps_diff,tm_recent_injury_days_diff,context_shift
Haiti,Panama,0.516284,0.466952,0.016764,0.524622,0.465393,0.009985,0.529914,0.46,0.010086,0.008338,0.016676,0.01363,casa,casa,casa,False,False,0.104762,0.715398,-0.311379,-1.11144,0.0
Argentina,Portugal,0.700431,0.295407,0.004162,0.692758,0.29477,0.012472,0.692758,0.29477,0.012472,0.00831,0.01662,0.00831,casa,casa,casa,False,False,-0.538462,-0.095675,-0.676955,0.197234,0.0
Czechia,Paraguay,0.617912,0.372313,0.009776,0.626142,0.364003,0.009854,0.626142,0.364003,0.009854,0.008309,0.016618,0.008309,casa,casa,casa,False,False,1.884615,0.090846,0.872007,-0.05001,0.0
England,Argentina,0.611747,0.38165,0.006602,0.616807,0.373341,0.009852,0.616807,0.373341,0.009852,0.008309,0.016619,0.008309,casa,casa,casa,False,False,1.384615,0.637936,0.502974,0.23512,0.0
IR Iran,Cape Verde Islands,0.845285,0.152477,0.002238,0.845982,0.144179,0.009839,0.845982,0.144179,0.009839,0.008298,0.016596,0.008298,casa,casa,casa,False,False,3.076923,-1.326533,0.292846,-0.224681,0.0
New Zealand,Cape Verde Islands,0.737412,0.246281,0.016306,0.73064,0.244788,0.024572,0.73064,0.244788,0.024572,0.008266,0.016532,0.008266,casa,casa,casa,False,False,-0.576923,-1.112268,0.027719,-0.01548,0.0
Côte d'Ivoire,Czechia,0.651903,0.339373,0.008724,0.659005,0.331134,0.009861,0.659005,0.331134,0.009861,0.008239,0.016479,0.008239,casa,casa,casa,False,False,1.423077,1.453707,-0.250489,0.454736,0.0
Algeria,Norway,0.59416,0.39789,0.00795,0.586811,0.397004,0.016185,0.586811,0.397004,0.016185,0.008235,0.016471,0.008235,casa,casa,casa,False,False,-0.653846,-0.488164,-0.252138,-0.048289,0.0
Uruguay,Austria,0.686938,0.308716,0.004347,0.689658,0.30051,0.009832,0.689658,0.30051,0.009832,0.008205,0.016411,0.008205,casa,casa,casa,False,False,1.615385,0.632407,-0.016484,0.263449,0.0
Sweden,Morocco,0.510897,0.478447,0.010657,0.503807,0.477411,0.018782,0.520592,0.46,0.019408,0.008125,0.01625,0.018447,casa,casa,casa,False,False,-1.269231,0.078262,0.045433,-0.273398,0.0
Uruguay,Ghana,0.872433,0.124318,0.003248,0.87405,0.116208,0.009742,0.87405,0.116208,0.009742,0.008111,0.016222,0.008111,casa,casa,casa,False,False,3.269231,-0.135242,0.254088,-0.428689,0.0
USA,Türkiye,0.591993,0.400028,0.00798,0.585117,0.398818,0.016065,0.585117,0.398818,0.016065,0.008085,0.01617,0.008085,casa,casa,casa,False,False,-1.230769,0.16508,0.154298,0.103106,0.0
Paraguay,Egypt,0.793641,0.201304,0.005055,0.796938,0.193225,0.009838,0.796938,0.193225,0.009838,0.008079,0.016158,0.008079,casa,casa,casa,False,False,3.207692,0.076016,-0.848614,-0.019759,0.0
Côte d'Ivoire,Ghana,0.744866,0.251442,0.003693,0.746822,0.243373,0.009804,0.746822,0.243373,0.009804,0.008068,0.016137,0.008068,casa,casa,casa,False,False,1.923077,0.329119,-0.03884,-0.382521,0.0
Côte d'Ivoire,Scotland,0.645283,0.347823,0.006894,0.650378,0.339767,0.009855,0.650378,0.339767,0.009855,0.008055,0.01611,0.008055,casa,casa,casa,False,False,1.615385,0.633464,-0.076227,-0.188221,0.0
Scotland,Austria,0.597373,0.395936,0.006691,0.59085,0.394433,0.014717,0.59085,0.394433,0.014717,0.008026,0.016052,0.008026,casa,casa,casa,False,False,-1.346154,0.463305,-0.233185,0.497838,0.0
Scotland,Ecuador,0.581231,0.410906,0.007863,0.587224,0.402895,0.00988,0.587224,0.402895,0.00988,0.00801,0.016021,0.00801,casa,casa,casa,False,False,1.923077,0.235678,0.342684,0.21445,0.0
Mexico,Algeria,0.756329,0.239877,0.003794,0.749277,0.238941,0.011781,0.749277,0.238941,0.011781,0.007988,0.015975,0.007988,casa,casa,casa,False,False,-0.538462,-0.422202,0.058805,0.161044,0.0
Panama,New Zealand,0.820358,0.175458,0.004184,0.813676,0.174163,0.01216,0.813676,0.174163,0.01216,0.007976,0.015953,0.007976,casa,casa,casa,False,False,-0.879487,-0.247976,-0.038128,-0.395762,0.0
Australia,Cape Verde Islands,0.846828,0.15108,0.002092,0.847031,0.143157,0.009812,0.847031,0.143157,0.009812,0.007923,0.015846,0.007923,casa,casa,casa,False,False,3.038462,-0.626503,0.004428,0.293426,0.0
Australia,Qatar,0.870087,0.128037,0.001876,0.869406,0.120795,0.0098,0.869406,0.120795,0.0098,0.007923,0.015847,0.007923,casa,casa,casa,False,False,2.346154,1.252934,-0.13739,1.142517,0.0
Côte d'Ivoire,Uruguay,0.545763,0.44326,0.010977,0.539235,0.441874,0.018891,0.539235,0.441874,0.018891,0.007914,0.015827,0.007914,casa,casa,casa,False,False,-1.346154,0.464362,-0.292928,0.046168,0.0
Colombia,Uruguay,0.722098,0.270806,0.007096,0.715293,0.269704,0.015004,0.715293,0.269704,0.015004,0.007907,0.015814,0.007907,casa,casa,casa,False,False,-0.846154,-0.239918,-0.569125,-0.017188,0.0
Japan,Switzerland,0.657763,0.336637,0.0056,0.651336,0.335178,0.013485,0.651336,0.335178,0.013485,0.007885,0.01577,0.007885,casa,casa,casa,False,False,-1.423077,-0.05856,0.012789,-0.183894,0.0
Uruguay,Algeria,0.787528,0.208383,0.004089,0.789693,0.200506,0.009801,0.789693,0.200506,0.009801,0.007877,0.015753,0.007877,casa,casa,casa,False,False,2.307692,0.346108,0.291691,0.30671,0.0
