ablation,classifier_weight,poisson_weight,draw_floor,draw_ceiling,objective,log_loss,rps,brier,ece,draw_recall,draw_expected_rate,draw_actual_rate,draw_gap,entropy,randomness_penalty
poisson_only_stack,0.88,0.12,0.04,0.46,0.849448,0.77825,0.142666,0.458659,0.014563,0.019417,0.23023,0.240467,0.010237,0.732826,0.0
score_poisson_only,0.0,1.0,0.04,0.46,0.849882,0.778513,0.142675,0.458695,0.01421,0.019417,0.229765,0.240467,0.010702,0.7313,0.0
subset__competitive+elo+poisson+count_poisson,0.88,0.12,0.04,0.46,0.851416,0.777453,0.141265,0.455481,0.023131,0.024272,0.223897,0.240467,0.01657,0.76116,0.0
subset__competitive+elo+count_poisson,0.88,0.12,0.04,0.46,0.853681,0.77883,0.14131,0.455665,0.026614,0.024272,0.2225,0.240467,0.017967,0.76644,0.0
subset__competitive+elo+poisson,0.88,0.12,0.04,0.46,0.85552,0.780336,0.141892,0.456851,0.024251,0.027508,0.221817,0.240467,0.01865,0.764772,0.0
subset__competitive+elo,0.88,0.12,0.04,0.46,0.860486,0.783778,0.14233,0.457985,0.027915,0.029126,0.219333,0.240467,0.021134,0.771987,0.0
subset__logistic+elo+poisson+count_poisson,0.88,0.12,0.04,0.46,0.864482,0.791262,0.145037,0.462778,0.057339,0.033981,0.245188,0.240467,0.004721,0.800407,0.0
subset__logistic,0.88,0.12,0.04,0.46,0.872417,0.774469,0.144506,0.465546,0.059939,0.142395,0.303619,0.240467,0.063152,0.75587,0.0
logistic_only_stack,0.88,0.12,0.04,0.46,0.872417,0.774469,0.144506,0.465546,0.059939,0.142395,0.303619,0.240467,0.063152,0.75587,0.0
subset__logistic+elo+count_poisson,0.88,0.12,0.04,0.46,0.877552,0.8003,0.147343,0.467593,0.070782,0.050162,0.250007,0.240467,0.00954,0.816076,0.0
subset__elo+poisson+count_poisson,0.88,0.12,0.04,0.46,0.879638,0.80359,0.147083,0.468754,0.0411,0.0,0.228093,0.240467,0.012374,0.798065,0.0
subset__logistic+elo+poisson,0.88,0.12,0.04,0.46,0.879905,0.803082,0.148315,0.469533,0.065275,0.056634,0.249111,0.240467,0.008644,0.813412,0.0
subset__elo+count_poisson,0.88,0.12,0.04,0.46,0.8983,0.819746,0.151015,0.477641,0.048475,0.0,0.227396,0.240467,0.013071,0.817256,0.0
subset__elo+poisson,0.88,0.12,0.04,0.46,0.90248,0.823503,0.152434,0.480436,0.040413,0.0,0.226201,0.240467,0.014266,0.81359,0.0
subset__logistic+elo,0.88,0.12,0.04,0.46,0.911153,0.827386,0.155094,0.483875,0.071516,0.07767,0.257904,0.240467,0.017437,0.835816,0.0
subset__elo,0.88,0.12,0.04,0.46,0.963966,0.877806,0.167932,0.514754,0.037272,0.0,0.223655,0.240467,0.016812,0.841747,0.0
elo_only_stack,0.88,0.12,0.04,0.46,0.963966,0.877806,0.167932,0.514754,0.037272,0.0,0.223655,0.240467,0.016812,0.841747,0.0
