team,stage,runs,probability,lower_95,upper_95,margin_95
Paraguay,Quarter-finals,10000,0.0541,0.049666,0.058534,0.004434
Paraguay,Semi-finals,10000,0.0088,0.006969,0.010631,0.001831
Paraguay,Final,10000,0.0026,0.001602,0.003598,0.000998
Paraguay,Champion,10000,0.0016,0.000817,0.002383,0.000783
Australia,Group Stage,10000,1.0,1.0,1.0,0.0
Australia,Round of 32,10000,0.3444,0.335087,0.353713,0.009313
Australia,Round of 16,10000,0.1762,0.168733,0.183667,0.007467
Australia,Quarter-finals,10000,0.0361,0.032444,0.039756,0.003656
Australia,Semi-finals,10000,0.0069,0.005278,0.008522,0.001622
Australia,Final,10000,0.0015,0.000741,0.002259,0.000759
Australia,Champion,10000,0.001,0.000381,0.001619,0.000619
Türkiye,Group Stage,10000,1.0,1.0,1.0,0.0
Türkiye,Round of 32,10000,0.9355,0.930685,0.940315,0.004815
Türkiye,Round of 16,10000,0.7883,0.780293,0.796307,0.008007
Türkiye,Quarter-finals,10000,0.5293,0.519517,0.539083,0.009783
Türkiye,Semi-finals,10000,0.037,0.0333,0.0407,0.0037
Türkiye,Final,10000,0.0048,0.003445,0.006155,0.001355
Türkiye,Champion,10000,0.0033,0.002176,0.004424,0.001124
Germany,Group Stage,10000,1.0,1.0,1.0,0.0
Germany,Round of 32,10000,0.9875,0.985322,0.989678,0.002178
Germany,Round of 16,10000,0.8867,0.880488,0.892912,0.006212
Germany,Quarter-finals,10000,0.4747,0.464913,0.484487,0.009787
Germany,Semi-finals,10000,0.4522,0.442445,0.461955,0.009755
Germany,Final,10000,0.4214,0.411722,0.431078,0.009678
Germany,Champion,10000,0.3666,0.357155,0.376045,0.009445
Curaçao,Group Stage,10000,1.0,1.0,1.0,0.0
Curaçao,Round of 32,10000,0.1469,0.139961,0.153839,0.006939
Curaçao,Round of 16,10000,0.0162,0.013726,0.018674,0.002474
Curaçao,Quarter-finals,10000,0.0008,0.000246,0.001354,0.000554
Curaçao,Semi-finals,10000,0.0003,0.0,0.000639,0.000339
Curaçao,Final,10000,0.0,0.0,0.0,0.0
Curaçao,Champion,10000,0.0,0.0,0.0,0.0
Côte d'Ivoire,Group Stage,10000,1.0,1.0,1.0,0.0
Côte d'Ivoire,Round of 32,10000,0.5464,0.536642,0.556158,0.009758
Côte d'Ivoire,Round of 16,10000,0.2743,0.265555,0.283045,0.008745
Côte d'Ivoire,Quarter-finals,10000,0.0539,0.049474,0.058326,0.004426
Côte d'Ivoire,Semi-finals,10000,0.0435,0.039502,0.047498,0.003998
Côte d'Ivoire,Final,10000,0.0365,0.032824,0.040176,0.003676
Côte d'Ivoire,Champion,10000,0.027,0.023823,0.030177,0.003177
Ecuador,Group Stage,10000,1.0,1.0,1.0,0.0
Ecuador,Round of 32,10000,0.953,0.948852,0.957148,0.004148
Ecuador,Round of 16,10000,0.7072,0.698281,0.716119,0.008919
Ecuador,Quarter-finals,10000,0.3944,0.384821,0.403979,0.009579
Ecuador,Semi-finals,10000,0.365,0.355564,0.374436,0.009436
Ecuador,Final,10000,0.3167,0.307582,0.325818,0.009118
Ecuador,Champion,10000,0.262,0.253381,0.270619,0.008619
Netherlands,Group Stage,10000,1.0,1.0,1.0,0.0
Netherlands,Round of 32,10000,0.9667,0.963183,0.970217,0.003517
Netherlands,Round of 16,10000,0.6574,0.648098,0.666702,0.009302
