match_number,round,slot_home,slot_away,home,away,home_goals,away_goals,winner,runner_up,resolution,sim_outcome,sim_outcome_probability,sim_score_probability,sim_classifier_home,sim_classifier_draw,sim_classifier_away,sim_blend_home,sim_blend_draw,sim_blend_away,sim_poisson_home,sim_poisson_draw,sim_poisson_away,sim_classifier_weight,sim_home_advances_if_draw,sim_home_penalties_if_extra_time_draw
73,Round of 32,2A,2B,Korea Republic,Switzerland,2,1,Korea Republic,Switzerland,90min,0.0,0.22421523810236055,0.2628371206513755,0.22161630163522442,0.29688487485688114,0.4814988235078945,0.22421523810236055,0.2921801346676725,0.4836046272299671,0.24327410552802536,0.2576787066134755,0.4990471878584991,0.88,,
74,Round of 32,1E,3ABCDF,Ecuador,Türkiye,2,2,Ecuador,Türkiye,penalties,1.0,0.29789508551871235,0.18899770895163978,0.43673688039238767,0.3,0.2632631196076123,0.43025346227660644,0.29789508551871235,0.2718514522046812,0.38270839609421065,0.28245904598926963,0.3348325579165198,0.88,0.5105615674828012,0.5
75,Round of 32,1F,2C,Netherlands,Morocco,2,1,Netherlands,Morocco,extra_time,1.0,0.2940808417348453,0.4720542626852714,0.4485249965812,0.3,0.25147500341879997,0.4567837401570407,0.2940808417348453,0.24913541810811404,0.5173478597132058,0.2506736811237103,0.23197845916308388,0.88,0.5651013068927322,0.5
76,Round of 32,1C,2F,Scotland,Japan,1,3,Japan,Scotland,90min,2.0,0.47480701545126885,0.10917993422813076,0.22849452159897227,0.29834153938113517,0.4731639390198925,0.23132332483797324,0.29386965971075785,0.47480701545126885,0.25206788192398044,0.2610758754613245,0.4868562426146952,0.88,,
77,Round of 32,1I,3CDFGH,France,Sweden,2,1,France,Sweden,extra_time,1.0,0.1834927617140964,0.47709980875218755,0.7225456413207669,0.18211674063693023,0.09533761804230287,0.7204124056292401,0.1834927617140964,0.09609483265666349,0.7047686772247104,0.1935835829466482,0.1016477398286414,0.88,0.646189527752786,0.5
78,Round of 32,2E,2I,Côte d'Ivoire,Norway,1,1,Norway,Côte d'Ivoire,penalties,1.0,0.23855818779403334,0.475133117467867,0.18432333287831423,0.23888264500593315,0.5767940221157527,0.18399287340844986,0.23855818779403334,0.5774489387975169,0.1815695039627777,0.23617883490676816,0.5822516611304541,0.88,0.4072676738514107,0.5
79,Round of 32,1A,3CEFHI,Mexico,Uruguay,2,4,Uruguay,Mexico,extra_time,1.0,0.28179046988286793,0.21935563024048985,0.3210441945004189,0.28376071977368067,0.39519508572590045,0.3200293335001622,0.28179046988286793,0.39818019661696985,0.31258701949828,0.2673419706835745,0.42007100981814544,0.88,0.4758894830075052,0.5
80,Round of 32,1L,3EHIJK,England,Senegal,0,0,Senegal,England,penalties,1.0,0.24927634608164045,0.2654832677969582,0.5770425821808904,0.2537401511735536,0.16921726664555603,0.5840125985071175,0.24927634608164045,0.16671105541124215,0.6351260515661156,0.2165417754076107,0.14833217302627372,0.88,0.6151671156045909,0.5
81,Round of 32,1D,3BEFIJ,Paraguay,Bosnia and Herzegovina,1,3,Bosnia and Herzegovina,Paraguay,90min,2.0,0.11527173355264636,0.07974969040684086,0.6608172745979223,0.22832266160480758,0.11086006379727018,0.6561492124138777,0.22857905403347606,0.11527173355264636,0.6219167563975501,0.230459265177045,0.14762397842540498,0.88,,
82,Round of 32,1G,3AEHIJ,Egypt,Czechia,1,2,Czechia,Egypt,90min,2.0,0.4151727973281777,0.21251870615147306,0.29452072842907456,0.2919863563945967,0.4134929151763288,0.29618310298295947,0.2886440996888629,0.4151727973281777,0.30837384971144877,0.26413421718014873,0.42749193310840256,0.88,,
