window,match_number,round,kickoff_at,home,away,home_goals_90,away_goals_90,extra_time_home_goals,extra_time_away_goals,winner,resolution,shootout_home,shootout_away,actual_1x2,actual_home_advanced,total_goals_90,historical_p_home_90,historical_p_draw_90,historical_p_away_90,historical_score_probability,historical_p_home_advances,group_form_p_home_90,group_form_p_draw_90,group_form_p_away_90,group_form_score_probability,group_form_p_home_advances,frozen_form_p_home_90,frozen_form_p_draw_90,frozen_form_p_away_90,frozen_form_score_probability,frozen_form_p_home_advances,frozen_form_home_xg,frozen_form_away_xg,frozen_form_weight,frozen_form_modal_score_90,frozen_form_most_likely_to_advance
pre_semifinal,101,Semifinals,2026-07-14T20:00:00+00:00,France,Spain,0,2,0,0,Spain,90min,,,away,0,2,0.27156854351802295,0.29613127708592485,0.4323001793960523,0.07261920864372043,0.4105235859228409,0.2764306603981103,0.2976083750927004,0.42596096450918924,0.07314858825285928,0.4223443013916862,0.2748281952257928,0.29925364509941366,0.42591815967479346,0.0785396136061317,0.42074571392733046,1.1629316764702384,1.2812862986897824,0.4883685897704415,0-1,Spain
pre_semifinal,102,Semifinals,2026-07-15T19:00:00+00:00,England,Argentina,1,2,0,0,Argentina,90min,,,away,0,3,0.28025431015371327,0.2921319286257141,0.4276137612205727,0.0921368937522087,0.4207009899110538,0.2763158643885021,0.2924054073013978,0.43127872831010017,0.09023597077287562,0.4127405464374064,0.280724963224748,0.29199747255649866,0.4272775642187534,0.09224079009058672,0.4215435791564273,1.4049971957707732,1.5835426300837971,0.4911618763774196,1-2,Argentina
