window,match_number,round,kickoff_at,home,away,home_goals_90,away_goals_90,extra_time_home_goals,extra_time_away_goals,winner,resolution,shootout_home,shootout_away,actual_1x2,actual_home_advanced,total_goals_90,historical_p_home_90,historical_p_draw_90,historical_p_away_90,historical_score_probability,historical_p_home_advances,group_form_p_home_90,group_form_p_draw_90,group_form_p_away_90,group_form_score_probability,group_form_p_home_advances,frozen_form_p_home_90,frozen_form_p_draw_90,frozen_form_p_away_90,frozen_form_score_probability,frozen_form_p_home_advances,frozen_form_home_xg,frozen_form_away_xg,frozen_form_weight,frozen_form_modal_score_90,frozen_form_most_likely_to_advance
pre_third_place,103,Third Place Playoff,2026-07-18T21:00:00+00:00,France,England,4,6,0,0,England,90min,,,away,0,10,0.4152856324441705,0.2938415319202649,0.29087283563556454,8.289655580068794e-05,0.5672816444385609,0.42157989709170335,0.2927027826910603,0.2857173202172363,9.323604186289725e-05,0.5793473783458204,0.42401428271021124,0.29295822169703645,0.2830274955927524,6.853482228009046e-05,0.5847015894423212,1.6453341513246889,1.1648457834576709,0.5402201967346711,2-1,France
pre_final,104,Final,2026-07-19T19:00:00+00:00,Spain,Argentina,0,0,1,0,Spain,extra_time,,,draw,1,0,0.40189184703310005,0.2954475898719142,0.30266056309498585,0.0693715990516135,0.5574650115547539,0.3965571331414229,0.29794287801213226,0.30549998884644486,0.08738504926873424,0.5487884199601225,0.4076544372398836,0.2968246178685824,0.295520944891534,0.08943501330102431,0.5709330909280528,1.548508588029951,1.0617738547547795,0.5310179027192551,1-0,Spain
