team,opponent,p_team_win_90,p_draw_90,p_team_advances,p_team_advances_if_draw,team_xg,opponent_xg,form_weight,p90_win_order_delta,p90_draw_order_delta,p90_loss_order_delta,advance_order_delta,advance_if_draw_complement_delta,home_xg_order_delta,away_xg_order_delta,forward_probability_sum_error,reverse_probability_sum_error,forward_penalty_neutrality_error,reverse_penalty_neutrality_error
Spain,Algeria,0.7558601975000098,0.15274337326843032,0.8608248686875717,0.6871962360232653,2.4491751332679685,0.5304378462818851,0.4924065793534448,0.0,5.551115123125783e-17,1.3877787807814457e-17,0.0,1.1102230246251565e-16,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0
Spain,Argentina,0.39936714563963566,0.2987443001104911,0.5617816071568434,0.5436571056155333,1.4074517551947976,0.9920984384590082,0.5710158992546404,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0
Spain,Australia,0.7772264090706215,0.14227979135239713,0.8728771842748001,0.6722723887559812,2.126736117387325,0.43650362722803,0.4944322192401101,0.0,2.7755575615628914e-17,1.3877787807814457e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Austria,0.7376280632695531,0.17895323462760682,0.8566889305092381,0.6653183301628776,2.2100713611429628,0.557104579673036,0.493570833723875,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Belgium,0.6704937722619958,0.21975007603605998,0.8063274123696774,0.6181278412180935,1.8672347140200407,0.7155758717050261,0.5427152442212816,0.0,2.7755575615628914e-17,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Bosnia and Herzegovina,0.8885364647536547,0.08193637512414019,0.9481641879778613,0.7277320132098332,2.6270566170012937,0.2851933990683572,0.4850427103791086,1.1102230246251565e-16,1.3877787807814457e-17,3.469446951953614e-18,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Brazil,0.5175652148305411,0.26688019628751075,0.6706771144544355,0.573710233107542,1.6304719407154702,0.9174619076758255,0.5178250215440429,0.0,0.0,5.551115123125783e-17,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Canada,0.7822188383283675,0.1421534681014375,0.8803816052896141,0.6905407815390046,2.338673218464836,0.424742911337969,0.5157108938408657,2.220446049250313e-16,2.7755575615628914e-17,4.163336342344337e-17,1.1102230246251565e-16,2.220446049250313e-16,0.0,5.551115123125783e-17,2.220446049250313e-16,0.0,0.0,0.0
Spain,Cape Verde Islands,0.8727420833311664,0.08681984716339128,0.9342758022208888,0.7087517532012982,2.251872884605101,0.20949906454824607,0.47972463056679354,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Colombia,0.5620653716671142,0.27947414624694206,0.7315700503605078,0.606512913518734,1.6476035656005465,0.6409153731169126,0.5158866430040572,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0
