match_number,kickoff_at,home,away,home_goals_90,away_goals_90,extra_time_home_goals,extra_time_away_goals,winner,resolution,shootout_home,shootout_away,actual_1x2,actual_home_advanced,historical_p_home_90,historical_p_draw_90,historical_p_away_90,historical_score_probability,historical_p_home_advances,group_form_p_home_90,group_form_p_draw_90,group_form_p_away_90,group_form_score_probability,group_form_p_home_advances,pre_quarterfinal_form_p_home_90,pre_quarterfinal_form_p_draw_90,pre_quarterfinal_form_p_away_90,pre_quarterfinal_form_score_probability,pre_quarterfinal_form_p_home_advances
97,2026-07-09T20:00:00+00:00,France,Morocco,2,0,0,0,France,90min,,,home,1,0.5704920469150789,0.25052491044333997,0.17898304264158107,0.10280435122030125,0.7242156907947581,0.5730950502484077,0.24889972288037193,0.17800522687122042,0.09672156273719554,0.7280887447061695,0.5692343616948584,0.25119519241012367,0.17957044589501794,0.10437727381492347,0.7222767441254223
98,2026-07-10T22:00:00+00:00,Spain,Belgium,2,1,0,0,Spain,90min,,,home,1,0.6710144641210354,0.21793312720312147,0.11105240867584304,0.10217325925000441,0.8059443895101286,0.6663015055678293,0.22129414051074348,0.11240435392142727,0.10415949550784682,0.7998590002517789,0.6693030746465994,0.21976367259940527,0.11093325275399539,0.10164975953081043,0.8041630284100691
99,2026-07-11T21:00:00+00:00,Norway,England,1,1,0,1,England,extra_time,,,draw,0,0.22444154542466907,0.2870201607198438,0.48853829385548714,0.1345852371346955,0.3446157311419943,0.22549786924230453,0.2854977898497812,0.48900434090791434,0.1304583256529695,0.3449842423958089,0.22819594823234535,0.28606768720001197,0.48573636456764274,0.12999909176437832,0.35131466477322315
100,2026-07-12T02:00:00+00:00,Argentina,Switzerland,1,1,2,0,Argentina,extra_time,,,draw,1,0.6224984005346039,0.23902017460259306,0.13848142486280302,0.11311562378462862,0.7697733602619017,0.6254741425791532,0.23757659532231523,0.1369492620985315,0.1117497551456041,0.7743837841801009,0.6157276167045063,0.2419209450400815,0.14235143825541233,0.11566405725448843,0.7591415899994018
