cup_year,model,test_rows,accuracy,top2_accuracy,log_loss,brier,rps,ece,draw_recall,temperature,home_goal_mae,away_goal_mae,classifier_weight,poisson_weight,draw_floor,draw_ceiling,objective,draw_expected_rate,draw_actual_rate,draw_gap,entropy,randomness_penalty,inner_train_rows,inner_rows,inner_rho,outer_rho
2014,baseline_elo_1x2,64,0.6094,0.7031,0.9955,0.5864,0.1972,0.1506,0.3846,,,,,,,,,,,,,,,,,
2014,logistic_1x2,64,0.7656,1.0,0.6062,0.3969,0.1033,0.1697,0.3846,,,,,,,,,,,,,,,,,
2014,xgb_1x2,64,0.7656,0.9688,0.5387,0.3374,0.0914,0.0735,0.0,,,,,,,,,,,,,,,,,
2014,xgb_temperature_calibrated_1x2,64,0.7656,0.9688,0.5373,0.3367,0.0919,0.064,0.0,0.85,,,,,,,,,,,,,,,,
2014,poisson_goal_model_1x2,64,0.7656,0.9688,0.6228,0.3565,0.1006,0.101,0.0,,0.9615,0.7078,,,,,,,,,,,,,,
2014,xgb_count_poisson_1x2,64,0.7656,0.9688,0.6413,0.3661,0.1036,0.1217,0.0,,0.9308,0.7107,,,,,,,,,,,,,,
2014,stacking_meta_1x2,64,0.75,0.9688,0.6454,0.4093,0.1107,0.1809,0.3846,,,,,,,,,,,,,,,,,
2014,hybrid_nested_policy_1x2,64,,,0.600805,0.350044,0.096776,0.124619,0.0,,,,0.88,0.12,0.04,0.46,0.675236,0.245806,0.203125,0.042681,0.70266,0.0,18904.0,1898.0,-0.18,-0.18
2018,baseline_elo_1x2,64,0.5469,0.6719,1.1108,0.6664,0.2236,0.2131,0.0769,,,,,,,,,,,,,,,,,
2018,logistic_1x2,64,0.6875,1.0,0.62,0.411,0.1061,0.07,0.5385,,,,,,,,,,,,,,,,,
2018,xgb_1x2,64,0.7969,1.0,0.4946,0.3051,0.0773,0.0947,0.0769,,,,,,,,,,,,,,,,,
2018,xgb_temperature_calibrated_1x2,64,0.7969,1.0,0.4845,0.2995,0.0756,0.1137,0.0769,0.9,,,,,,,,,,,,,,,,
2018,poisson_goal_model_1x2,64,0.7812,0.9844,0.6072,0.3418,0.0958,0.1508,0.0,,0.9105,0.673,,,,,,,,,,,,,,
2018,xgb_count_poisson_1x2,64,0.7969,1.0,0.6136,0.3441,0.0948,0.1599,0.0,,0.8559,0.6813,,,,,,,,,,,,,,
2018,stacking_meta_1x2,64,0.6719,1.0,0.6971,0.4362,0.12,0.0912,0.5385,,,,,,,,,,,,,,,,,
2018,hybrid_nested_policy_1x2,64,,,0.579157,0.332548,0.089602,0.143149,0.076923,,,,0.88,0.12,0.06,0.46,0.658804,0.261903,0.203125,0.058778,0.726989,0.0,22824.0,1693.0,-0.18,-0.18
2022,baseline_elo_1x2,64,0.5156,0.5938,1.1685,0.7064,0.2405,0.2444,0.0667,,,,,,,,,,,,,,,,,
2022,logistic_1x2,64,0.6406,1.0,0.6458,0.4327,0.113,0.072,0.3333,,,,,,,,,,,,,,,,,
2022,xgb_1x2,64,0.6719,0.9844,0.5855,0.389,0.1025,0.109,0.0667,,,,,,,,,,,,,,,,,
2022,xgb_temperature_calibrated_1x2,64,0.6719,0.9844,0.5855,0.392,0.103,0.1005,0.0667,0.9,,,,,,,,,,,,,,,,
2022,poisson_goal_model_1x2,64,0.7031,0.9375,0.7241,0.428,0.1279,0.0755,0.0,,1.0439,0.6904,,,,,,,,,,,,,,
2022,xgb_count_poisson_1x2,64,0.7188,0.9531,0.6981,0.4091,0.1171,0.1031,0.0,,1.0115,0.6779,,,,,,,,,,,,,,
2022,stacking_meta_1x2,64,0.625,1.0,0.754,0.4897,0.1297,0.102,0.5333,,,,,,,,,,,,,,,,,
2022,hybrid_nested_policy_1x2,64,,,0.658879,0.397131,0.111297,0.059281,0.0,,,,0.88,0.12,0.04,0.42,0.728658,0.262449,0.234375,0.028074,0.72607,0.0,26636.0,2013.0,-0.18,-0.18
